,symbol,regularMarketPrice,Change,Change Percentage,previousClose
0,CRZBY,8.69,0.11,1.28,8.58
1,CORZ,3.69,0.12,3.36,3.57
2,MKTAY,27.07,-0.52,-1.88,27.59
3,GSHD,55.06,3.15,6.07,51.91
4,KMTUY,25.19,0.19,0.76,25.0
5,MP,40.13,0.73,1.85,39.4
6,SMNNY,17.68,-0.01,-0.06,17.69
7,GO,38.5,0.3,0.79,38.2
8,OHI,29.62,0.1,0.34,29.52
9,LAD,306.1,3.47,1.15,302.63
10,VRT,11.44,0.58,5.34,10.86
11,KUBTY,92.28,0.65,0.71,91.632
12,SBRA,13.96,0.08,0.58,13.88
13,A,130.55,6.7,5.41,123.85
14,OCDDY,22.78,1.15,5.32,21.63
15,PAY,15.57,0.8,5.42,14.77
16,PAX,16.9,0.18,1.08,16.72
17,UNCRY,5.79,0.03,0.52,5.76
18,BTLCY,6.62,-0.01,-0.15,6.63
19,RYCEY,1.08,0.01,0.93,1.07
20,PHG,25.54,0.06,0.24,25.48
21,RNG,65.84,3.89,6.28,61.95
22,IBDSF,12.1225,0.02,0.12,12.1075
23,MRTX,39.81,-18.65,-31.9,58.46
24,BJ,58.63,0.77,1.33,57.86
25,DHR,266.49,14.78,5.87,251.71
26,SMCAY,25.68,-0.32,-1.23,26.0
27,ADRNY,27.71,0.34,1.24,27.37
28,ENSG,82.41,1.81,2.25,80.6
29,WST,321.21,15.75,5.16,305.46
30,ESALY,42.25,0.32,0.76,41.93
31,BBBY,9.23,0.69,8.08,8.54
32,GNS,7.74,-0.06,-0.77,7.8
33,TTLHF,0.674,-0.01,-0.88,0.68
34,HSTO,0.1764,-0.0,-1.07,0.1783
35,ATNM,5.63,0.13,2.36,5.5
36,SONN,0.2653,0.0,1.14,0.2623
37,AGRX,1.55,0.2,14.81,1.35
38,QLGN,0.5449,0.03,5.21,0.5179
39,0883.HK,12.48,0.32,2.63,12.16
40,POONAWALLA.NS,256.65,4.4,1.74,252.25
41,SCHW,70.59,1.77,2.57,68.82
42,TD.TO,96.91,0.92,0.96,95.99
43,EPD,27.6,0.22,0.8,27.38
44,LIN,329.63,9.3,2.9,320.33
45,HCC,34.48,-0.61,-1.74,35.09
46,LNTH,70.34,4.19,6.33,66.15
47,ASH,108.84,3.08,2.91,105.76
48,ALGT,151.47,5.27,3.6,146.2
49,NTES,104.0,2.51,2.47,101.49
50,PLL,66.83,3.89,6.18,62.94
51,CUK,12.94,0.66,5.37,12.28
52,MT,33.15,1.31,4.11,31.84
53,ABNB,120.5,6.2,5.42,114.3
54,TRIP,25.59,0.42,1.67,25.17
55,PVH,70.76,0.78,1.11,69.98
56,PK,18.36,0.69,3.9,17.67
57,APLS,42.61,0.66,1.57,41.95
58,DKILY,15.56,0.13,0.84,15.43
59,ASX,7.08,0.15,2.16,6.93
60,YOU,28.51,0.78,2.81,27.73
61,TEF,5.26,-0.01,-0.19,5.27
62,MRNA,147.66,11.86,8.73,135.8
63,AAFRF,2.037,-0.03,-1.59,2.07
64,SPLK,108.5,6.5,6.37,102.0
65,MAR,172.56,2.39,1.4,170.17
66,ZIM,68.03,1.35,2.02,66.68
67,HLMN,11.62,0.25,2.2,11.37
68,EAF,8.9,0.2,2.3,8.7
69,TSCDY,9.74,0.0,0.0,9.74
70,CILJF,1.51,0.0,0.0,1.51
71,REYN,27.58,0.36,1.32,27.22
72,CGSHY,3.49,-0.13,-3.72,3.625
73,CIHHF,6.06,0.71,13.23,5.35189
74,BLK,666.53,14.09,2.16,652.44
75,BCTX,4.88,-0.13,-2.59,5.01
76,ATRS,5.59,0.0,0.0,5.59
77,SRRA,54.78,0.05,0.09,54.73
78,KLDO,0.0535,-0.01,-10.54,0.0598
79,GS,328.58,4.95,1.53,323.63
80,FAST,54.12,1.6,3.05,52.52
81,STAB,0.24,-0.0,-0.83,0.242
82,ARTL,0.3445,0.01,2.87,0.3349
83,METX,1.47,0.12,8.89,1.35
84,CTIC,5.44,0.15,2.84,5.29
85,KKPNY,3.66,-0.01,-0.27,3.67
86,VALN,24.414,1.19,5.14,23.22
87,NDEKY,36.33,0.4,1.11,35.93
88,OTSKY,17.2,-0.07,-0.41,17.27
89,MIELY,21.96,0.2,0.92,21.76
90,RPRX,41.27,1.26,3.15,40.01
91,PALAF,0.53,0.01,1.44,0.5225
92,HALO,48.3,1.7,3.65,46.6
93,HII,214.4,2.9,1.37,211.5
94,IBM,139.27,2.38,1.74,136.89
95,SKHSY,18.06,0.12,0.67,17.94
96,USB,52.5,0.36,0.69,52.14
97,MS,86.45,1.45,1.71,85.0
98,JHX,26.19,0.25,0.96,25.94
99,ATI,27.26,0.21,0.78,27.05
100,KBR,49.86,1.51,3.12,48.35
101,FMCKN,2.94,0.11,3.89,2.83
102,ZTCOY,4.04,0.24,6.32,3.8
103,FRCOY,47.45,-0.09,-0.18,47.536
104,NKE,115.99,3.05,2.7,112.94
105,CAT,217.14,4.15,1.95,212.99
106,ACCYY,6.68,0.1,1.52,6.58
