,symbol,regularMarketPrice,Change,Change Percentage,previousClose
0,COUP,72.58,3.17,4.57,69.41
1,ENPH,188.95,10.17,5.69,178.78
2,TIIAY,2.97,0.01,0.34,2.96
3,GLNG,25.45,1.15,4.73,24.3
4,PLTK,14.85,0.26,1.78,14.59
5,BML-PG,18.65,0.51,2.81,18.14
6,AMRC,62.54,4.79,8.29,57.75
7,VCISY,24.85,0.16,0.65,24.69
8,CRWD,166.82,10.98,7.05,155.84
9,NOG,33.33,1.92,6.11,31.41
10,LAC,28.14,1.11,4.11,27.03
11,ISBC,13.87,-0.35,-2.46,14.22
12,HMHC,21.03,0.0,0.0,21.03
13,JXHLY,8.082,0.0,0.0,8.082
14,MMI,41.99,0.59,1.43,41.4
15,MNSO,5.73,0.19,3.43,5.54
16,GPN,132.25,3.6,2.8,128.65
17,MAC,11.82,0.08,0.68,11.74
18,RL,98.87,0.46,0.47,98.41
19,MHK,141.77,2.37,1.7,139.4
20,COTY,7.08,0.4,5.99,6.68
21,BHVN,143.37,0.19,0.13,143.18
22,TTDKY,34.53,0.31,0.91,34.22
23,GTBIF,11.314,-0.29,-2.47,11.6
24,ARVN,43.19,1.89,4.58,41.3
25,COOP,43.59,-0.13,-0.3,43.72
26,PARA,33.91,1.51,4.66,32.4
27,ALSMY,2.75,0.12,4.76,2.625
28,IBRX,3.92,0.5,14.62,3.42
29,FMCCJ,4.7,0.0,0.0,4.7
30,ATASF,23.3,-1.34,-5.44,24.64
31,TABCF,0.68,0.0,0.0,0.68
32,EBR-B,8.95,0.14,1.59,8.81
33,KPLUY,13.595,-0.6,-4.26,14.2
34,PSMT,78.67,0.75,0.96,77.92
35,FLMMF,19.611,-0.41,-2.04,20.02
36,NEX,11.12,0.08,0.72,11.04
37,WBDWV,24.47,1.7,7.47,22.77
38,CTRA,35.52,0.87,2.51,34.65
39,WDFC,186.88,3.11,1.69,183.77
40,FNMAL,5.0,-0.25,-4.76,5.25
41,KRYPF,2.59,0.0,0.0,2.59
42,PIAIF,6.23,0.25,4.09,5.985
43,DISCB,24.45,1.43,6.21,23.02
44,PSFE,2.85,0.22,8.37,2.63
45,DISCA,24.43,1.36,5.9,23.07
46,DISCK,24.42,1.34,5.81,23.08
47,HAL,41.36,1.2,2.99,40.16
48,EBR,9.1,-0.13,-1.41,9.23
49,EOG,136.85,3.13,2.34,133.72
50,BVN,9.04,0.19,2.15,8.85
51,NOV,20.12,0.34,1.72,19.78
52,SVNLF,9.934,-0.08,-0.76,10.01
53,MGY,28.21,1.27,4.71,26.94
54,HNP,18.41,-1.07,-5.49,19.48
55,RLX,2.03,0.08,4.1,1.95
56,PTEN,19.81,0.32,1.64,19.49
57,APA,47.62,1.78,3.88,45.84
58,SVNLY,4.97,-0.13,-2.55,5.1
59,CPG,8.82,0.25,2.92,8.57
60,CACC,590.0,8.6,1.48,581.4
61,LBRT,16.44,-0.04,-0.24,16.48
62,MRRTY,3.14,-0.01,-0.32,3.15
63,ZIJMF,1.32,0.01,0.38,1.315
64,EQRX,5.18,0.43,9.05,4.75
65,FTI,8.56,-0.08,-0.93,8.64
66,HES,123.28,2.61,2.16,120.67
67,BKGFY,10.69,-0.23,-2.11,10.92
68,ACHC,72.29,0.37,0.51,71.92
69,FNMAJ,3.03,0.03,1.0,3.0
70,KCDMY,7.4,0.09,1.23,7.31
71,STOHF,36.862,1.65,4.69,35.21
72,CAH,57.7,-0.32,-0.55,58.02
73,YASKY,66.38,-0.04,-0.06,66.42
74,RYDAF,29.764,-0.37,-1.21,30.13
75,EGO,8.16,-0.04,-0.49,8.2
76,BSM,16.05,0.21,1.33,15.84
77,ERF,14.99,0.4,2.74,14.59
78,PXD,280.0,7.39,2.71,272.61
79,SWTX,18.36,-12.47,-40.45,30.83
80,CMSQY,16.61,0.19,1.16,16.42
81,DNBBY,20.46,0.32,1.59,20.14
82,EDVMF,23.11,0.0,0.0,23.11
83,SLB,48.21,1.52,3.26,46.69
84,JBSAY,14.921,-0.04,-0.26,14.96
85,DKS,84.7,0.12,0.14,84.58
86,EQX,5.95,0.06,1.02,5.89
87,AAP,193.05,2.15,1.13,190.9
88,CVT,5.55,0.17,3.16,5.38
89,OI,16.98,1.32,8.43,15.66
90,BCRX,9.76,0.71,7.85,9.05
91,LXP,11.69,0.25,2.19,11.44
92,CX,4.57,0.16,3.63,4.41
93,CVX,178.28,1.69,0.96,176.59
94,GILD,64.8,0.33,0.51,64.47
95,KR,52.96,0.82,1.57,52.14
96,NUTX,10.0,0.09,0.91,9.91
97,RXT,9.44,0.5,5.59,8.94
98,MLSPF,1.61,0.03,1.58,1.585
99,TRTN,64.5,0.95,1.49,63.55
100,BAP,142.41,1.73,1.23,140.68
101,ABCL,7.9,0.4,5.33,7.5
102,JTKWY,4.28,0.05,1.18,4.23
103,AYX,57.69,2.69,4.89,55.0
104,HELFY,9.27,-0.09,-0.96,9.36
105,RGEN,170.04,10.87,6.83,159.17
106,SSMXY,31.19,0.27,0.87,30.92
107,ONTO,82.24,4.39,5.64,77.85
108,FORM,41.95,1.38,3.4,40.57
109,MRCY,57.44,0.93,1.65,56.51
110,KTOS,14.77,0.49,3.43,14.28
111,BCH,20.45,0.11,0.54,20.34
112,DASTY,42.435,1.48,3.6,40.96
113,GMAB,30.36,0.55,1.85,29.81
114,AEIS,82.22,3.12,3.94,79.1
115,DNLI,25.23,1.07,4.43,24.16
116,CWAN,15.35,0.33,2.2,15.02
117,WUXAY,11.56,0.51,4.58,11.0535
118,TRUP,68.96,4.44,6.88,64.52
119,PGNY,34.14,0.36,1.07,33.78
120,ALHC,11.03,0.26,2.41,10.77
