,symbol,regularMarketPrice,Change,Change Percentage,previousClose
121,SEDG,280.36,13.92,5.22,266.44
122,SDGR,26.5,1.33,5.28,25.17
123,RKUNY,5.64,0.0,0.0,5.64
124,FROG,19.41,0.92,4.98,18.49
125,KWR,155.1,5.6,3.75,149.5
126,KKOYY,12.38,0.07,0.56,12.311
127,FLYW,20.0,0.42,2.15,19.58
128,SPT,53.22,5.58,11.71,47.64
129,FATE,23.58,1.15,5.13,22.43
130,UNVGY,11.09,0.18,1.6,10.915
131,EQNR,37.66,0.28,0.75,37.38
132,MEGEF,17.204,0.14,0.8,17.0678
133,DVN,75.8,1.99,2.7,73.81
134,CLR,69.01,2.94,4.45,66.07
135,WOOF,16.46,0.45,2.81,16.01
136,REPYY,16.09,0.02,0.11,16.072
137,AHKSY,16.33,0.0,0.0,16.33
138,LPLA,200.78,6.13,3.15,194.65
139,SPGYF,8.661,0.11,1.34,8.54676
140,WHD,53.34,0.36,0.68,52.98
141,FSNUY,8.698,0.09,1.0,8.612
142,KHOLY,11.89,-0.04,-0.35,11.932
143,TDS,17.97,-0.04,-0.22,18.01
144,GOGL,15.85,0.06,0.38,15.79
145,GKOS,41.6,0.95,2.34,40.65
146,DVA,97.78,0.34,0.35,97.44
147,AN,122.13,3.77,3.19,118.36
148,TTM,28.19,0.18,0.64,28.01
149,BMRN,80.97,2.11,2.68,78.86
150,HEP,19.05,0.63,3.42,18.42
151,PRMRF,28.95,0.48,1.7,28.465
152,SSL,26.1,0.54,2.11,25.56
153,KMX,100.29,1.13,1.14,99.16
154,CIADY,49.33,0.63,1.29,48.7
155,COP,114.6,1.45,1.28,113.15
156,IPXHY,12.31,0.23,1.9,12.08
157,SFM,26.72,0.57,2.18,26.15
158,SAIL,63.17,-0.19,-0.3,63.36
159,MSP,35.09,0.12,0.34,34.97
160,PING,19.93,0.69,3.59,19.24
161,SCGLY,5.4,0.02,0.37,5.38
162,AKBTY,0.9202,0.0,0.0,0.9202
163,DRKTF,4.61,0.0,0.0,4.61
164,BURL,171.63,1.76,1.04,169.87
165,FNMAH,2.95,0.02,0.51,2.935
166,RPD,73.92,3.37,4.78,70.55
167,TENB,52.56,3.06,6.18,49.5
168,AMPH,38.87,2.69,7.44,36.18
169,VRNS,34.07,1.41,4.32,32.66
170,PRYMY,16.29,0.36,2.26,15.93
171,AVAV,95.99,5.94,6.6,90.05
172,NTNX,16.88,0.38,2.3,16.5
173,RYAAY,90.59,1.59,1.79,89.0
174,ROST,87.31,0.32,0.37,86.99
175,ICAGY,3.27,0.04,1.24,3.23
176,AXAHY,26.12,0.32,1.24,25.8
177,LCII,117.6,1.58,1.36,116.02
178,PAG,116.6,1.4,1.22,115.2
179,FL,33.29,0.59,1.8,32.7
180,DY,94.15,1.73,1.87,92.42
181,PPERF,0.566,0.03,5.4,0.537
182,FIVN,102.05,3.35,3.39,98.7
183,JKS,58.94,-1.26,-2.09,60.2
184,MNTV,12.56,0.64,5.37,11.92
185,OWL,12.39,0.39,3.25,12.0
186,BRZE,34.99,2.75,8.53,32.24
187,ESAB,50.07,0.62,1.25,49.45
188,QLYS,138.2,7.24,5.53,130.96
189,FOXF,80.1,1.09,1.38,79.01
190,BBWI,42.45,-0.08,-0.19,42.53
191,SIVB,492.02,18.91,4.0,473.11
192,WSM,130.91,0.91,0.7,130.0
193,GNENF,12.9,0.1,0.78,12.8
194,ACAD,17.08,0.85,5.24,16.23
195,STER,19.3,0.9,4.89,18.4
196,PEN,149.38,7.46,5.26,141.92
197,INMD,26.64,0.64,2.46,26.0
198,HCM,9.56,0.5,5.52,9.06
199,CENX,12.37,0.61,5.19,11.76
200,BRFS,3.2,0.17,5.61,3.03
201,HOCPY,109.385,0.98,0.91,108.4
202,HGTY,11.23,0.33,3.03,10.9
203,DB,11.25,0.06,0.54,11.19
204,IDXX,398.61,13.69,3.56,384.92
205,HPK,32.18,2.36,7.91,29.82
206,DSDVY,81.1,0.95,1.19,80.15
207,VICR,68.75,3.35,5.12,65.4
208,GELYF,1.8899,0.02,0.98,1.8715
209,SONY,92.26,1.72,1.9,90.54
210,OVV,56.44,2.68,4.99,53.76
211,DFKCY,15.72,-0.04,-0.25,15.7601
212,MORN,262.84,8.41,3.31,254.43
213,WYNMY,5.405,0.0,0.09,5.4
214,GELYY,37.72,-0.4,-1.05,38.12
215,TCCPY,4.59,0.17,3.85,4.42
216,PNGAY,12.29,0.29,2.44,11.997
217,BEAM,36.07,3.51,10.78,32.56
218,HRMY,43.64,1.13,2.66,42.51
219,SHZHY,12.87,0.5,4.04,12.37
220,WXXWY,13.77,0.58,4.4,13.19
221,ICLR,227.3,9.66,4.44,217.64
222,NARI,67.51,3.42,5.34,64.09
223,PUK,26.27,0.61,2.38,25.66
224,CGNX,49.3,3.14,6.8,46.16
225,SNPHY,8.1,0.1,1.25,8.0
226,NTRA,41.19,2.07,5.29,39.12
227,ASMIY,306.17,10.22,3.45,295.955
228,NJDCY,16.495,0.32,2.01,16.17
229,MSSMY,10.968,0.05,0.43,10.921
230,ABMD,266.34,5.37,2.06,260.97
231,RNECY,5.98,0.16,2.75,5.82
232,SQM,113.33,6.19,5.78,107.14
233,BPMC,56.29,0.93,1.68,55.36
234,MRK,93.08,0.77,0.83,92.31
235,WMB,37.46,0.54,1.46,36.92
236,VERU,12.83,0.19,1.5,12.64
237,1024.HK,73.6,2.7,3.81,70.9
238,HOTH,0.4424,0.01,2.6,0.4312
239,ATHX,0.211,0.02,9.33,0.193
240,PTE,2.5,0.25,11.11,2.25
241,^IXIC,12131.131,390.43,3.33,11740.7
242,IBIO,0.255,0.01,4.85,0.2432
243,COALINDIA.NS,191.15,3.95,2.11,187.2
244,Y,834.0,0.13,0.02,833.87
245,0669.HK,102.3,-1.4,-1.35,103.7
246,EVTL,5.33,0.26,5.13,5.07
247,GIGNF,0.599,0.0,0.0,0.599
248,NTOIY,23.44,0.07,0.3,23.37
249,HNLGF,1.91,0.0,0.0,1.91
250,SIMO,90.5,0.6,0.67,89.9
251,KSS,41.87,-1.32,-3.06,43.19
252,DH,19.48,1.38,7.62,18.1
253,OPK,3.2,0.14,4.58,3.06
254,ARLP,19.87,-0.01,-0.05,19.88
255,HSHCY,13.58,0.17,1.27,13.41
256,RKLB,5.0,0.34,7.3,4.66
257,SGHC,7.22,1.19,19.73,6.03
258,CERT,20.96,0.95,4.75,20.01
259,LZ,12.85,0.95,7.98,11.9
260,DCP,36.15,1.47,4.24,34.68
261,RAZFF,0.27,-0.07,-20.59,0.34
262,HESM,33.04,0.2,0.61,32.84
263,TMVWY,6.839,0.06,0.87,6.78
264,MODV,98.78,2.35,2.44,96.43
265,INFA,20.95,0.38,1.85,20.57
266,AMPL,19.12,1.09,6.05,18.03
267,WES,27.77,0.63,2.32,27.14
268,LZRFY,12.27,0.18,1.53,12.085
269,ATSG,31.45,1.99,6.75,29.46
270,CQP,55.22,1.22,2.26,54.0
271,PAGP,12.08,0.27,2.29,11.81
272,BCC,82.57,2.26,2.81,80.31
273,RCM,21.53,0.3,1.41,21.23
274,LVMUY,126.38,3.92,3.2,122.46
275,CEA,17.54,-0.07,-0.4,17.61
276,HP,51.69,0.21,0.41,51.48
277,CMP,45.49,0.37,0.82,45.12
278,IHS,11.8,0.3,2.61,11.5
279,EVH,29.39,0.98,3.45,28.41
280,ENLC,11.38,0.41,3.74,10.97
281,FINMF,10.4,0.0,0.0,10.4
282,SCHYY,18.04,-0.15,-0.8,18.186
283,SHOO,38.06,1.4,3.82,36.66
284,EPIAF,19.31,0.83,4.49,18.48
285,CNQ,66.93,1.17,1.78,65.76
286,CHX,23.4,0.82,3.63,22.58
287,FHN,23.1,0.01,0.04,23.09
288,CFG,40.87,0.57,1.41,40.3
289,ACI,30.61,0.36,1.19,30.25
290,EVOTF,27.09,0.0,0.0,27.09
291,EVO,13.92,0.37,2.73,13.55
292,NONOF,106.51,2.05,1.96,104.46
293,CTLT,105.37,4.4,4.36,100.97
294,CRZBF,8.08,0.0,0.0,8.08
295,KMTUF,25.2,0.48,1.94,24.721
296,AMED,117.53,0.14,0.12,117.39
297,TAIPY,9.54,0.08,0.85,9.46
298,FANUY,16.24,0.0,0.0,16.24
299,BIO,547.25,24.79,4.74,522.46
