,symbol,regularMarketPrice,Change,Change Percentage,previousClose
138,MPNGY,42.07,-0.74,-1.73,42.81
139,ZLNDY,20.13,0.23,1.16,19.9
140,APPN,50.01,3.96,8.6,46.05
141,LU,6.26,0.31,5.21,5.95
142,VMEO,8.93,0.28,3.24,8.65
143,BOLSY,7.63,0.0,0.0,7.63
144,ATER,3.35,0.07,2.13,3.28
145,SBFM,1.33,-0.03,-2.21,1.36
146,SST,10.15,0.11,1.1,10.04
147,LILM,2.79,0.07,2.57,2.72
148,NNOX,10.38,0.73,7.56,9.65
149,GGR,4.2,-0.02,-0.47,4.22
150,MFA,13.43,0.08,0.6,13.35
151,TEVA,9.04,-0.04,-0.44,9.08
152,SAVA,26.66,1.16,4.55,25.5
153,ANY,1.05,0.02,1.94,1.03
154,RCON,0.7899,0.04,4.98,0.7524
155,RH,291.03,12.62,4.53,278.41
156,BRCC,9.96,0.69,7.44,9.27
157,CVE.TO,29.78,0.98,3.4,28.8
158,GNRC,256.17,14.93,6.19,241.24
159,CGNT,7.14,0.03,0.42,7.11
160,ENB,46.2,0.35,0.76,45.85
161,VRTX,273.73,4.08,1.51,269.65
162,RCL,58.19,2.66,4.79,55.53
163,TANH,0.264,-0.01,-2.58,0.271
164,IMRA,1.15,-0.09,-7.26,1.24
165,AYI,177.86,2.9,1.66,174.96
166,GLG,0.1808,0.01,4.93,0.1723
167,JBLU,10.84,0.23,2.17,10.61
168,SAVE,20.5,0.64,3.22,19.86
169,CFLT,21.36,1.62,8.21,19.74
170,NET,58.91,2.86,5.1,56.05
171,PLAY,38.44,0.38,1.0,38.06
172,MMYT,29.23,0.64,2.24,28.59
173,SNOW,129.91,3.11,2.45,126.8
174,EGFEY,0.55,-0.01,-1.35,0.5575
175,WRBY,17.65,0.5,2.92,17.15
176,SHAK,48.75,1.5,3.17,47.25
177,ULCC,10.455,0.94,9.82,9.52
178,DDOG,98.07,8.44,9.42,89.63
179,LSPD,25.92,1.01,4.05,24.91
180,NTCO,7.13,-0.06,-0.83,7.19
181,AGL,19.7,0.48,2.5,19.22
182,OLO,11.44,0.72,6.72,10.72
183,NTLA,48.75,3.74,8.31,45.01
184,TDOC,35.77,2.32,6.94,33.45
185,AI,19.73,1.34,7.29,18.39
186,ONEM,8.8,0.33,3.9,8.47
187,TEAM,184.78,9.6,5.48,175.18
188,TXG,52.99,5.64,11.91,47.35
189,TASK,24.27,1.93,8.64,22.34
190,RIOT,7.24,0.51,7.58,6.73
191,ABLZF,30.63,1.87,6.5,28.76
192,EMBK,1.5,0.02,1.35,1.48
193,CZR,51.6,0.58,1.14,51.02
194,MDB,250.06,17.0,7.29,233.06
195,MTTR,5.67,0.48,9.25,5.19
196,TWST,35.95,1.23,3.54,34.72
197,LYSCF,6.72,0.01,0.15,6.71
198,ZM,110.42,3.42,3.2,107.0
199,MSTR,219.39,3.29,1.52,216.1
200,LYSDY,6.825,0.08,1.26,6.74
201,SG,18.35,-0.54,-2.86,18.89
202,ARVL,1.81,0.06,3.43,1.75
203,CFRUY,10.85,0.56,5.44,10.29
204,VCSA,4.5,0.21,4.9,4.29
205,ADYEY,16.2,0.46,2.96,15.735
206,IGT,21.93,0.9,4.28,21.03
207,ANZLY,2.21,0.01,0.45,2.2
208,GOGO,20.98,0.95,4.74,20.03
209,BBAJF,2.5703,0.42,19.54,2.1501
210,NGCRF,0.77785,0.0,0.0,0.77785
211,BCCLF,2.34,0.04,1.74,2.3
212,RPM,90.89,2.02,2.27,88.87
213,MOS,59.85,0.89,1.51,58.96
214,PTR,52.66,0.38,0.73,52.28
215,FMCKM,2.98,0.08,2.76,2.9
216,SMPL,41.01,1.27,3.2,39.74
217,BEPTF,1.14,0.0,0.0,1.14
218,IMBBY,22.85,0.11,0.48,22.74
219,RES,9.29,0.14,1.53,9.15
220,CRK,20.65,0.95,4.82,19.7
221,RRC,36.17,1.46,4.21,34.71
222,IOVA,7.02,-8.1,-53.57,15.120001
223,YETI,46.11,0.78,1.72,45.33
224,SMAR,37.19,2.1,5.98,35.09
225,MARA,10.27,0.42,4.26,9.85
226,FVRR,42.95,3.17,7.97,39.78
227,TTD,52.49,3.46,7.06,49.03
228,BILL,125.3,9.1,7.83,116.2
229,COUR,16.88,0.44,2.68,16.44
230,VSCO,42.67,-1.88,-4.22,44.55
231,DADA,6.84,0.26,3.95,6.58
232,RVLV,30.0,0.43,1.45,29.57
233,ATASY,12.075,0.05,0.46,12.02
234,DELKY,15.945,-0.36,-2.24,16.31
235,WFRD,34.89,1.35,4.03,33.54
236,PBF,32.94,1.59,5.07,31.35
237,LXU,19.56,0.52,2.73,19.04
238,VAL,60.25,0.32,0.53,59.93
239,PCRX,64.44,2.26,3.63,62.18
240,PPC,33.59,0.75,2.28,32.84
241,EQT,48.43,1.03,2.17,47.4
242,VLO,131.81,3.69,2.88,128.12
243,AZZVF,0.5592,0.0,0.0,0.5592
244,TKAMY,9.375,0.21,2.29,9.165
245,LAZR,9.9,0.43,4.54,9.47
246,PENN,32.28,0.78,2.48,31.5
247,SKIN,14.64,0.92,6.71,13.72
248,CD,7.24,0.12,1.69,7.12
249,ANET,105.87,2.16,2.08,103.71
250,CALX,37.81,1.16,3.17,36.65
251,GCTAY,3.78,-0.03,-0.79,3.81
252,HUBS,352.44,17.32,5.17,335.12
253,RAIFY,3.27,-0.06,-1.8,3.33
254,FSLY,13.18,0.72,5.78,12.46
255,TSM,93.77,2.77,3.04,91.0
256,MRVL,60.82,3.83,6.72,56.99
257,CCCS,9.08,0.3,3.42,8.78
258,PAGS,15.6,0.89,6.05,14.71
259,MLCO,5.3,0.12,2.32,5.18
260,DAN,16.23,0.21,1.31,16.02
261,GPI,182.81,4.1,2.29,178.71
262,RYKKY,10.52,0.14,1.35,10.38
263,ATHM,34.01,0.93,2.81,33.08
264,SES,7.0,0.2,2.94,6.8
265,LUV,45.8,0.8,1.78,45.0
266,LEG,39.81,0.89,2.29,38.92
267,STNE,10.28,0.57,5.87,9.71
268,TROX,18.45,0.25,1.37,18.2
269,KEP,9.5,0.14,1.5,9.36
270,KD,12.63,0.25,2.02,12.38
271,LEVI,18.44,0.56,3.13,17.88
272,PIPR,131.51,3.34,2.61,128.17
273,HTHT,30.76,0.47,1.55,30.29
274,LVS,34.62,0.45,1.32,34.17
275,CFX,39.06,-1.53,-3.77,40.59
276,PSX,101.73,3.05,3.09,98.68
277,LKNCY,9.3,0.05,0.54,9.25
278,TCOM,21.3,0.19,0.9,21.11
279,ABG,185.0,6.17,3.45,178.83
280,HMC,25.15,0.19,0.76,24.96
281,WYNN,65.26,0.83,1.29,64.43
282,PNFP,81.4,1.06,1.32,80.34
283,QFIN,14.6,0.1,0.69,14.5
284,CWK,19.15,0.7,3.79,18.45
285,LEA,136.56,1.72,1.28,134.84
286,CC,43.99,0.82,1.9,43.17
287,SMMYY,10.63,0.04,0.38,10.59
288,BWA,39.73,0.34,0.86,39.39
