,Symbol,Name,Price,Change,Change %,Volume,Avg volume,Market cap,Ration,date/time
54,UPST,"Upstart Holdings, Inc.",48.54,-3.17,-6.13%,6.482M,13.084M,4.115B,29.44,04/06/2022 02:25:57
55,NVCR,NovoCure Limited,79.79,-5.21,-6.13%,"644,335","585,282",8.345B,N/A,04/06/2022 02:25:57
56,OPEN,Opendoor Technologies Inc.,7.52,-0.49,-6.12%,12.184M,17.59M,4.698B,N/A,04/06/2022 02:25:57
57,DXCM,"DexCom, Inc.",292.79,-19.04,-6.11%,"967,084","915,876",28.73B,149.69,04/06/2022 02:25:57
58,SNOW,Snowflake Inc.,129.82,-8.42,-6.09%,6.686M,7.478M,41.294B,N/A,04/06/2022 02:25:57
59,IMPUY,Impala Platinum Holdings Limited,13.12,-0.85,-6.05%,"28,855","152,253",11.125B,4.62,04/06/2022 02:25:57
60,MNDY,monday.com Ltd.,116.09,-7.35,-5.95%,"512,044","664,752",5.075B,N/A,04/06/2022 02:25:57
61,SOFI,"SoFi Technologies, Inc.",6.98,-0.44,-5.93%,29.389M,51.668M,5.581B,N/A,04/06/2022 02:25:57
62,GLBE,Global-e Online Ltd.,19.47,-1.20,-5.81%,"904,125",1.904M,3.046B,N/A,04/06/2022 02:25:57
63,NET,"Cloudflare, Inc.",54.54,-3.36,-5.80%,4.951M,5.712M,17.793B,N/A,04/06/2022 02:25:57
64,JTKWY,Just Eat Takeaway.com N.V.,4.1100,-0.2500,-5.73%,"101,432","968,220",4.418B,N/A,04/06/2022 02:25:57
65,MELI,"MercadoLibre, Inc.",788.90,-47.84,-5.72%,"484,266","626,741",39.743B,216.08,04/06/2022 02:25:57
66,APPN,Appian Corporation,49.16,-2.98,-5.72%,"379,722","627,877",3.557B,N/A,04/06/2022 02:25:57
67,INFA,Informatica Inc.,19.67,-1.18,-5.66%,"511,599","592,969",5.508B,N/A,04/06/2022 02:25:57
68,OSH,"Oak Street Health, Inc.",17.38,-1.04,-5.65%,"903,412",2.127M,4.19B,N/A,04/06/2022 02:25:57
